ID,PLIP_score
0U0_docked_complex,0.4000
0UU_docked_complex,0.4000
0VG_docked_complex,0.4000
0WO_docked_complex,0.4000
0XP_docked_complex,0.4000
0YL_docked_complex,0.4000
153_docked_complex,0.4000
15W_docked_complex,0.4000
164_docked_complex,0.4000
18F_docked_complex,0.4000
19C_docked_complex,0.4000
1AO_docked_complex,0.4000
1DK_docked_complex,0.4000
1IX_docked_complex,0.4000
1JN_docked_complex,0.4000
1KF_docked_complex,0.4000
1KQ_docked_complex,0.4000
1OU_docked_complex,0.4000
1RO_docked_complex,0.4000
1SF_docked_complex,0.4000
1TH_docked_complex,0.4000
1UI_docked_complex,0.4000
1UL_docked_complex,0.4000
1XQ_docked_complex,0.4000
1YM_docked_complex,0.4000
20C_docked_complex,0.4000
20M_docked_complex,0.4000
226_docked_complex,0.4000
230_docked_complex,0.4000
244_docked_complex,0.4000
24Y_docked_complex,0.4000
25O_docked_complex,0.4000
29Z_docked_complex,0.4000
2D6_docked_complex,0.4000
2EO_docked_complex,0.4000
2EW_docked_complex,0.4000
2F5_docked_complex,0.4000
2KD_docked_complex,0.4000
2NJ_docked_complex,0.4000
2QH_docked_complex,0.4000
2UG_docked_complex,0.4000
2YB_docked_complex,0.4000
2ZT_docked_complex,0.4000
30I_docked_complex,0.4000
30T_docked_complex,0.4000
319_docked_complex,0.4000
31X_docked_complex,0.4000
33T_docked_complex,0.4000
34Q_docked_complex,0.4000
34U_docked_complex,0.4000
35H_docked_complex,0.4000
35W_docked_complex,0.4000
38B_docked_complex,0.4000
39I_docked_complex,0.4000
3C0_docked_complex,0.4000
3CI_docked_complex,0.4000
3E3_docked_complex,0.4000
3JU_docked_complex,0.4000
3KE_docked_complex,0.4000
3KF_docked_complex,0.4000
3MR_docked_complex,0.4000
3OZ_docked_complex,0.4000
3RS_docked_complex,0.4000
3SX_docked_complex,0.4000
3VD_docked_complex,0.4000
3YR_docked_complex,0.4000
40U_docked_complex,0.4000
44X_docked_complex,0.4000
45R_docked_complex,0.4000
4A8_docked_complex,0.4000
4C4_docked_complex,0.4000
4CC_docked_complex,0.4000
4CW_docked_complex,0.4000
4CX_docked_complex,0.4000
4DZ_docked_complex,0.4000
4E5_docked_complex,0.4000
4GX_docked_complex,0.4000
4HW_docked_complex,0.4000
4JS_docked_complex,0.4000
4L6_docked_complex,0.4000
4L9_docked_complex,0.4000
4NX_docked_complex,0.4000
4NY_docked_complex,0.4000
4OT_docked_complex,0.4000
4VD_docked_complex,0.4000
4WE_docked_complex,0.4000
514_docked_complex,0.4000
51E_docked_complex,0.4000
524_docked_complex,0.4000
54J_docked_complex,0.4000
589_docked_complex,0.4000
598_docked_complex,0.4000
5BC_docked_complex,0.4000
5F6_docked_complex,0.4000
5FW_docked_complex,0.4000
5G0_docked_complex,0.4000
5G3_docked_complex,0.4000
5G7_docked_complex,0.4000
5H_docked_complex,0.4000
5IK_docked_complex,0.4000
5KY_docked_complex,0.4000
5LC_docked_complex,0.4000
5LL_docked_complex,0.4000
5PT_docked_complex,0.4000
5RC_docked_complex,0.4000
5RT_docked_complex,0.4000
5TB_docked_complex,0.4000
5TZ_docked_complex,0.4000
5UO_docked_complex,0.4000
5UV_docked_complex,0.4000
5W0_docked_complex,0.4000
5YP_docked_complex,0.4000
5YS_docked_complex,0.4000
5ZM_docked_complex,0.4000
605_docked_complex,0.4000
61I_docked_complex,0.4000
62G_docked_complex,0.4000
66P_docked_complex,0.4000
67P_docked_complex,0.4000
68O_docked_complex,0.4000
69Q_docked_complex,0.4000
6BF_docked_complex,0.4000
6BU_docked_complex,0.4000
6G7_docked_complex,0.4000
6I4_docked_complex,0.4000
6JF_docked_complex,0.4000
6LJ_docked_complex,0.4000
6LP_docked_complex,0.4000
6QE_docked_complex,0.4000
6QO_docked_complex,0.4000
6RB_docked_complex,0.4000
6RY_docked_complex,0.4000
6SH_docked_complex,0.4000
6SZ_docked_complex,0.4000
6T1_docked_complex,0.4000
6T7_docked_complex,0.4000
6VT_docked_complex,0.4000
6W1_docked_complex,0.4000
6XW_docked_complex,0.4000
6Z1_docked_complex,0.4000
6ZI_docked_complex,0.4000
71N_docked_complex,0.4000
727_docked_complex,0.4000
73F_docked_complex,0.4000
74U_docked_complex,0.4000
755_docked_complex,0.4000
78H_docked_complex,0.4000
