ID,SMILES,affinity,COM,RMSD,mcs_size,PLIP_sim_1MVN,PLIP_sim_1QZU_pred,Cluster
CWE,c1cc(ccc1[C@H]2CC(=O)c3c(cc(cc3O2)O)O)O,-8.43,1.36468375647014,8.70386058342083,2,0.4,0.6,1852
WV2,c1cc2cccnc2c(c1)S(=O)(=O)Nc3ccc(cc3)C(=O)N4CCN(CC4)CC5CC5,-9.46,1.93881824432056,0.236315526206666,3,0.8,0.4,no
VFC,C[C@H](C(=O)N1CC(C1)C#N)NC(=O)c2c[nH]c3c2nc(cn3)c4c5ccc(cc5n(n4)C)F,-9.58,2.31538392294824,5.089581130336,9,0.4,0.6,2536
IYZ,CC(=O)c1cccc(c1)c2cnc3n2nc(cc3)NCC4CC4,-8.24,0.837458304305058,2.24661047298563,5,0.4,0.6,no
HPJ,COCCCn1ccc2c1ncc(c2)C3=CC(=CC(=O)N3O)c4ccccc4,-8.49,1.82156596460903,1.24930852531806,9,0.4,0.8,1307
B3O,C[C@H]1CCC[C@@H]2[C@@H]1[C@]3([C@@H](C=C2)C)C(=O)C(=CNC3=O)c4ccccc4,-8.76,2.47121142183915,0.975076038719492,4,0.6,0.6,no
UQE,c1ccnc(c1)c2ccc(s2)S(=O)(=O)NCc3cn(nn3)[C@@H](Cc4ccc(cc4)O)C(=O)NO,-9.08,2.48809866780204,5.63419155233061,8,0.4,0.8,no
V0B,Cc1ccc2nc(cn2c1)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,-9.03,2.47108819560876,6.12438829173585,6,0.4,0.6,2660
CWV,B(c1cccc(c1)c2ccc3c(c2)ccnc3N)(O)O,-8.58,1.3257925870514,7.05520476061982,2,0.4,0.4,409
YP2,c1cc2c(cc1C(=O)O)C(=O)N(C2=O)CC(=O)O,-8.1,0.760983181470839,6.50185507007482,6,0.4,0.6,1959
RPU,C[C@H](Cc1ccco1)C(=O)N[C@H](CC(=O)O)c2ccc3c(c2)OCO3,-8,1.08720582859072,5.59419038109714,14,0.8,0.6,no
6QO,c1cc(c(c(c1)O)F)c2cccc(n2)C(=O)c3ccc(c(c3)O)F,-8.86,1.71676696747554,8.70390029472737,2,0.4,0.4,no
FNC,CN1C[C@H](C[C@H](C1)NC2=Nc3cc[nH]c3C(=O)N2C)c4ccccc4,-8.35,2.30210701000818,1.01096117785869,4,0.6,0.6,no
GR9,CN1CCN(CC1)S(=O)(=O)c2ccc(cc2)c3cnc(c(n3)C(=O)Nc4cccnc4)N,-8.52,2.20348310738949,2.99810579192119,4,0.4,0.6,no
4OT,Cc1nc(c(s1)c2ccccc2F)C(=O)N3CCC[C@H]3Cc4nnc(o4)c5ccccc5,-8.9,1.83333583280034,1.95637914794389,4,0.4,0.4,no
7CU,C[C@@H](CNc1cnc(c(n1)c2cc3ccccc3[nH]2)C(=O)N)N,-8,0.342915594961026,4.80989742846986,9,0.4,0.8,no
Z48,Cc1cnc(nc1c2cc([nH]c2)C(=O)N[C@H](CO)c3ccccc3)Nc4ccccc4,-9.83,2.24465293325073,6.4344952144313,9,0.4,0.4,no
GIG,COC(=O)Nc1[nH]c2ccc(cc2n1)Oc3ccc(cc3)NC(=O)Nc4cc(ccc4F)C(F)(F)F,-9.94,1.12784563623022,5.61056123725895,4,0.2,0.6,1940
DAI,CCCCCN1C(=O)[C@H]2C3c4ccccc4C([C@H]2C1=O)(c5c3cccc5)CO,-9.45,2.82820771626103,2.65710523412735,9,0.4,0.6,no
X16,Cc1nc2cc(ccc2c(n1)N)c3cccc(c3)S(=O)(=O)NC(=O)[C@H]([C@@H](C)O)N,-8.23,2.19808339348046,4.05226164967921,10,0.8,0.6,no
HRD,CNc1[nH]c2cc3c(cc2n1)N=C(NC3=O)NC,-7.96,1.38290929772888,6.02747520004737,5,0.6,0.8,1954
D4X,C[C@H]1CCC[C@@H](C1)C[C@H]2Cc3cc(cc(c3C(=O)N2)O)O,-8.59,1.72839028105247,0.255737102406741,4,0.4,0.4,no
XV5,c1ccc2c(c1)C(=O)C(=Cc3cc(c(cc3O)O)O)O2,-8.51,2.21305431854627,8.70448201505021,2,0.8,0.4,no
I1R,Cc1c(cccc1F)CN2CCC[C@H](C2)Cc3nc(no3)c4ccc(cc4)NC(=O)c5ccc(cc5)Cl,-9.15,1.1892546712403,1.99467952585755,4,0.2,0.6,no
6BC,c1ccc(cc1)Cc2c(nc3c(cnn3c2O)C#N)Cl,-8.12,1.29549503051578,0.40703057554077,3,0.6,0.4,no
